MSA ExposureSegregation #Exposures MeanSES NeighborhoodSortingIndex Gini Pop.Size BridgingIndex
Abilene,TX 0.44 561,896.00 1,245.47 0.63 0.21 170,516.00 0.79
Akron,OH 0.55 2,211,810.00 1,338.21 0.71 0.27 704,367.00 0.65
Albany,GA 0.40 355,999.00 1,077.89 0.47 0.26 151,293.00 0.79
Albany,OR 0.27 153,057.00 1,425.95 0.40 0.11 124,977.00 0.95
Albany-Schenectady-Troy,NY 0.40 2,058,079.00 1,651.16 0.62 0.18 882,130.00 0.81
Albuquerque,NM 0.35 1,979,325.00 1,316.79 0.59 0.19 912,897.00 0.78
Alexandria,LA 0.37 267,228.00 1,011.98 0.52 0.23 153,604.00 0.88
Allentown-Bethlehem-Easton,PA-NJ 0.44 2,629,311.00 1,647.92 0.62 0.19 838,081.00 0.79
Altoona,PA 0.14 199,365.00 799.18 0.59 0.08 123,175.00 0.83
Amarillo,TX 0.45 2,027,531.00 1,358.46 0.62 0.26 264,955.00 0.82
Ames,IA 0.22 178,625.00 1,255.36 0.37 0.19 97,260.00 0.97
Anchorage,AK 0.37 1,189,861.00 1,921.88 0.65 0.17 400,647.00 0.84
AnnArbor,MI 0.42 984,188.00 2,087.55 0.69 0.19 369,208.00 0.76
Anniston-Oxford-Jacksonville,AL 0.27 498,621.00 949.79 0.43 0.19 114,664.00 0.96
Appleton,WI 0.28 798,727.00 1,201.77 0.60 0.10 236,058.00 0.94
Asheville,NC 0.36 1,449,906.00 1,634.66 0.44 0.18 455,255.00 0.88
Athens-Clarkecounty,GA 0.26 431,582.00 1,427.27 0.46 0.19 208,997.00 0.83
Atlanta-Sandysprings-Roswell,GA 0.50 41,054,246.00 1,805.49 0.70 0.22 5,874,249.00 0.62
Atlanticcity-Hammonton,NJ 0.55 788,439.00 1,993.59 0.79 0.27 266,328.00 0.59
Auburn-Opelika,AL 0.35 415,339.00 1,409.80 0.44 0.19 161,641.00 0.86
Augusta-Richmondcounty,GA-SC 0.39 1,698,887.00 1,257.25 0.57 0.21 600,006.00 0.79
Austin-RoundRock,TX 0.53 13,378,670.00 1,954.85 0.70 0.19 2,115,230.00 0.66
Bakersfield,CA 0.29 2,168,162.00 1,399.40 0.69 0.18 888,988.00 0.81
Baltimore-Columbia-Towson,MD 0.61 15,120,132.00 1,898.23 0.80 0.17 2,798,587.00 0.60
Bangor,ME 0.21 56,124.00 1,264.12 0.65 0.17 151,190.00 0.91
BarnstableTown,MA 0.32 556,457.00 2,483.81 0.43 0.18 213,482.00 0.90
BatonRouge,LA 0.45 3,449,982.00 1,374.01 0.70 0.14 831,182.00 0.81
BattleCreek,MI 0.37 329,581.00 1,013.54 0.66 0.13 134,358.00 0.84
BayCity,MI 0.23 204,294.00 904.87 0.48 0.11 104,189.00 0.97
Beaumont-PortArthur,TX 0.41 1,935,665.00 1,276.93 0.63 0.16 412,616.00 0.83
Beckley,WV 0.22 61,971.00 988.00 0.41 0.19 118,639.00 0.94
Bellingham,WA 0.18 300,129.00 1,946.31 0.35 0.16 221,650.00 0.95
Bend-Redmond,OR 0.38 257,079.00 1,983.21 0.53 0.17 186,807.00 0.92
Billings,MT 0.36 316,679.00 1,370.83 0.56 0.18 170,740.00 0.91
Binghamton,NY 0.21 325,247.00 1,125.73 0.56 0.16 241,609.00 0.90
Birmingham-Hoover,AL 0.56 7,522,699.00 1,392.29 0.73 0.26 1,149,685.00 0.63
Bismarck,ND 0.18 341,245.00 1,397.18 0.48 0.13 132,418.00 0.95
Blacksburg-Christiansburg-Radford,VA 0.33 260,509.00 1,340.74 0.57 0.17 182,692.00 0.82
Bloomington,IL 0.34 599,796.00 1,245.47 0.62 0.18 188,754.00 0.89
Bloomington,IN 0.35 405,186.00 1,517.20 0.47 0.22 167,513.00 0.91
Bloomsburg-Berwick,PA 0.19 80,784.00 994.00 0.64 0.14 83,924.00 0.94
BoiseCity,ID 0.41 1,299,521.00 1,584.28 0.60 0.16 710,080.00 0.81
Boston-Cambridge-Newton,MA-NH 0.38 22,163,903.00 2,655.52 0.63 0.16 4,844,597.00 0.70
Boulder,CO 0.36 744,121.00 2,570.91 0.57 0.21 324,073.00 0.84
BowlingGreen,KY 0.43 541,630.00 1,227.13 0.59 0.22 174,962.00 0.93
Bremerton-Silverdale,WA 0.40 636,416.00 2,044.31 0.60 0.16 266,550.00 0.77
Bridgeport-Stamford-Norwalk,CT 0.51 3,009,778.00 2,840.03 0.79 0.32 943,457.00 0.53
Brownsville-Harlingen,TX 0.33 1,204,081.00 1,106.57 0.49 0.17 423,181.00 0.88
Brunswick,GA 0.55 345,233.00 1,939.59 0.65 0.33 117,728.00 0.56
Buffalo-Cheektowaga-NiagaraFalls,NY 0.41 3,152,570.00 1,285.13 0.68 0.20 1,129,660.00 0.69
Burlington,NC 0.30 489,581.00 1,237.01 0.40 0.21 163,529.00 0.89
Burlington-southBurlington,VT 0.43 140,807.00 1,990.17 0.33 0.16 218,881.00 0.86
California-LexingtonPark,MD 0.19 442,775.00 1,739.01 0.35 0.12 112,413.00 0.98
Canton-Massillon,OH 0.41 1,037,327.00 1,235.25 0.38 0.29 399,418.00 0.81
CapeCoral-FortMyers,FL 0.39 6,067,007.00 1,990.09 0.57 0.27 739,506.00 0.74
CapeGirardeau,MO-IL 0.24 174,129.00 1,013.11 0.36 0.18 96,873.00 0.99
Carbondale-Marion,IL 0.21 182,895.00 855.65 0.37 0.13 125,065.00 0.99
CarsonCity,NV 0.33 124,126.00 1,700.73 0.59 0.18 54,608.00 0.98
Casper,WY 0.18 103,682.00 1,377.58 0.30 0.21 79,556.00 0.97
CedarRapids,IA 0.33 1,010,446.00 1,200.65 0.47 0.14 270,594.00 0.96
Chambersburg-Waynesboro,PA 0.26 158,476.00 1,080.40 0.48 0.10 154,487.00 0.96
Champaign-Urbana,IL 0.32 799,317.00 1,229.14 0.67 0.19 239,877.00 0.88
Charleston,WV 0.25 365,352.00 988.62 0.44 0.21 214,398.00 0.93
Charleston-northCharleston,SC 0.47 4,062,901.00 2,014.52 0.69 0.24 775,089.00 0.66
Charlotte-Concord-Gastonia,NC-SC 0.50 12,750,805.00 1,699.80 0.68 0.24 2,524,863.00 0.64
Charlottesville,VA 0.31 510,779.00 1,840.79 0.50 0.21 233,586.00 0.95
Chattanooga,TN-GA 0.46 2,432,138.00 1,376.30 0.62 0.18 556,081.00 0.86
Cheyenne,WY 0.33 234,335.00 1,450.51 0.67 0.15 98,460.00 0.96
Chicago-Naperville-Elgin,IL-IN-WI 0.44 61,552,971.00 1,943.77 0.66 0.21 9,520,784.00 0.68
Chico,CA 0.29 324,613.00 1,772.67 0.55 0.17 229,207.00 0.92
Cincinnati,OH-KY-IN 0.47 10,110,144.00 1,533.13 0.66 0.22 2,179,858.00 0.76
Clarksville,TN-KY 0.30 989,270.00 1,100.48 0.56 0.16 285,691.00 0.83
Cleveland,TN 0.23 421,419.00 1,072.17 0.33 0.15 122,082.00 0.92
Cleveland-Elyria,OH 0.54 6,830,481.00 1,385.15 0.68 0.25 2,058,549.00 0.63
Coeur-d’Alene,ID 0.13 243,473.00 1,680.34 0.32 0.15 157,485.00 0.97
CollegeStation-Bryan,TX 0.40 1,243,139.00 1,430.02 0.59 0.18 258,825.00 0.87
ColoradoSprings,CO 0.42 2,666,493.00 1,758.07 0.64 0.16 725,438.00 0.72
Columbia,MO 0.36 425,486.00 1,194.35 0.50 0.20 178,523.00 0.86
Columbia,SC 0.42 3,047,549.00 1,390.00 0.59 0.21 825,110.00 0.81
Columbus,GA-AL 0.47 724,780.00 1,143.38 0.72 0.24 303,436.00 0.74
Columbus,IN 0.41 250,666.00 1,411.07 0.55 0.22 82,429.00 0.94
Columbus,OH 0.55 9,849,191.00 1,623.39 0.71 0.23 2,082,475.00 0.69
CorpusChristi,TX 0.50 2,288,424.00 1,487.67 0.72 0.16 453,684.00 0.79
Corvallis,OR 0.24 104,179.00 1,936.53 0.48 0.15 91,567.00 0.97
Crestview-FortWaltonBeach-Destin,FL 0.43 1,868,711.00 1,852.07 0.53 0.24 271,959.00 0.76
Cumberland,MD-WV 0.26 30,347.00 936.53 0.51 0.14 98,566.00 0.98
Dallas-ParkFortWorth-Arlington,TX 0.51 48,228,424.00 1,996.27 0.73 0.22 7,407,944.00 0.62
Dalton,GA 0.14 235,701.00 876.66 0.89 0.14 143,872.00 0.77
Danville,IL 0.24 70,716.00 693.62 0.73 0.05 77,776.00 0.96
Daphne-Fairhope-Foley,AL 0.34 1,066,095.00 1,602.47 0.41 0.16 212,619.00 0.96
Davenport-Moline-RockIsland,IA-IL 0.45 945,921.00 1,287.37 0.70 0.22 381,854.00 0.76
Dayton,OH 0.49 2,617,342.00 1,278.37 0.70 0.25 803,713.00 0.73
Decatur,AL 0.29 403,755.00 981.61 0.42 0.12 151,888.00 0.94
Decatur,IL 0.35 233,031.00 919.63 0.76 0.15 105,533.00 0.86
Deltona-DaytonaBeach-OrmondBeach,FL 0.33 5,092,950.00 1,686.87 0.46 0.18 648,117.00 0.82
Denver-Aurora-Lakewood,CO 0.35 11,589,449.00 2,312.40 0.67 0.17 2,892,979.00 0.77
DesMoines-WestDesMoines,IA 0.46 1,966,610.00 1,577.32 0.53 0.22 645,100.00 0.76
Detroit-Warren-Dearborn,MI 0.57 15,495,989.00 1,554.43 0.77 0.26 4,321,704.00 0.49
Dothan,AL 0.33 466,788.00 1,142.03 0.45 0.23 147,923.00 0.89
